.	0	2	7	10	12	15	16	18	19	20	22	23	24	25	26	27	28	29	30	31	33	34	
.	0	4565469	4669016	5199348	5251223	5328128	6518538	6540547	6566728	6599210	6762494	7043862	7079456	8256096	9216787	10182179	12491092	12738176	16855739	39837557	52468930	123067754	
.	1	2	7	10	12	15	16	18	19	20	22	23	24	25	26	27	28	29	30	31	33	34	
.	1	4590256	4750818	5394678	5457786	5533006	6670511	6718801	6728480	6783802	7016450	7287242	7333065	8216357	9081977	10265177	12154760	12359414	15973770	36594548	44733248	123067754	
.	2	2	7	10	12	15	16	18	19	20	22	23	24	25	26	27	28	29	30	31	33	34	
.	2	4561898	4730016	5462646	5523627	5616457	6733567	6779264	6790314	6847571	7110784	7373989	7420063	8237969	9100247	10310222	12059953	12250318	15682078	35415873	43206795	123067754	
.	3	2	7	10	12	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	35	37	
.	3	4757483	4914257	5592003	5645730	5869946	6335353	6375579	6781570	6830543	7027121	7081868	7121685	7372074	7714952	8125008	8926603	8957020	9907064	10224250	12203362	14063881	30040621	123067754	
.	4	2	7	10	12	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	35	37	
.	4	4951746	5096135	5783916	5834149	6061097	6538063	6575191	6962602	7008389	7207319	7258868	7295532	7549081	7895649	8293953	9055974	9084748	10046880	10340755	12282197	14156732	30228428	123067754	
.	5	2	6	7	8	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	5	4871318	4871687	4925858	5118604	5528092	5651456	5663789	5698372	5701617	5834940	5887815	6709640	6800462	6945571	6956857	6986386	7115477	7254164	7282581	7546136	7835096	8196846	8822797	9021397	9915067	10437461	12400510	14062651	14064971	28228430	30269070	123067754	
.	6	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	6	5048514	5048707	5049066	5093992	5267873	5267874	5656886	5788026	5798651	5830506	5833439	5951939	6004849	6639080	6728781	6827466	6837923	6868473	6997304	7136868	7163071	7451677	7743503	8206684	8797450	8997154	9897016	10374953	12408643	14062897	14065337	28085838	30105414	123067754	
.	7	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	7	5110910	5111262	5111541	5150442	5311485	5311489	5680068	5809320	5818884	5847663	5850335	5959957	6012225	6621639	6707175	6809041	6819545	6849781	6978088	7114200	7139818	7406983	7698080	8097171	8642857	8855527	9760499	10316535	12280187	13924345	13927002	27879333	29855793	123067754	
.	8	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	8	5206146	5206788	5207182	5244472	5410610	5410624	5788188	5919282	5928118	5954799	5957801	6072826	6129064	6683540	6790761	6893824	6904902	6937867	7067179	7213388	7237331	7522088	7653310	8290908	8772828	8978217	9940395	10464713	11982061	12933858	14212602	18056195	18062500	26232404	30195638	123067754	
.	9	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	9	5313915	5314930	5315255	5349659	5508600	5508676	5862936	5986738	5995066	6019919	6022789	6138208	6193904	6724804	6821056	6915969	6927010	6961025	7088652	7230137	7253265	7536693	7662098	8405881	8767597	8965987	9932907	10447446	11962900	12893668	14151264	17963598	17969602	26086512	30078275	123067754	
.	10	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	10	5411006	5412881	5413215	5445762	5602515	5603879	5959408	6083833	6091843	6115546	6118121	6230911	6287643	6797497	6896180	6992478	7002678	7037157	7163381	7307581	7329547	7620214	7748015	8572174	8823354	9026942	10018961	10528953	12054253	13016439	14255636	18131761	18137500	26304298	30425088	123067754	
.	11	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	11	5517039	5518618	5519755	5548923	5697842	5700433	6040533	6160963	6168618	6191179	6193744	6303956	6360872	6856627	6950252	7043635	7053904	7089028	7212438	7352576	7373875	7663224	7789176	8693575	8850247	9046938	10040805	10540414	12072583	13027113	14274260	18151333	18158257	26315762	30328953	123067754	
.	12	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	12	5626786	5628378	5629687	5659908	5815851	5820900	6184382	6310636	6318524	6340600	6343486	6456093	6520190	7009689	7114962	7218621	7228627	7266723	7392352	7549418	7571581	7888525	8026988	8968749	9103430	9323612	10388377	10861548	12454814	13502396	14719442	18804858	18812461	27205511	31748727	123067754	
.	13	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	13	5734709	5736274	5738339	5766595	5919564	5926580	6282402	6406981	6414776	6435701	6438548	6468898	6583140	7104275	7206899	7311535	7321418	7359989	7481610	7564303	7662213	7986470	8123491	9067471	9196965	9413286	10097832	10925973	12241168	13318391	14615713	15353718	17981519	20401993	27074155	34167577	51783487	123067754	
.	14	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	14	5860968	5862823	5865566	5892653	6045368	6055067	6414323	6536935	6544886	6565151	6568646	6601502	6720081	7245737	7351000	7456011	7466013	7506224	7624898	7710826	7811627	8142048	8281214	9234786	9361543	9578509	10269317	11089991	12428344	13526586	14865391	15635741	18328311	20844715	27687313	34868557	52555913	123067754	
.	15	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	15	5948041	5949973	5953296	5979716	6128540	6141103	6494896	6612291	6620505	6640285	6644192	6679484	6798603	7320406	7430309	7537338	7547891	7589293	7707304	7793083	7894855	8232238	8376896	9316462	9445076	9662286	10359351	11153404	12498423	13616118	14954811	15750122	18471356	21033895	28007092	35273951	53031305	123067754	
.	16	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	16	6045927	6047834	6051634	6077041	6219969	6235314	6572923	6682994	6691253	6710408	6714938	6751770	6872219	7369392	7471883	7573887	7585507	7627402	7741927	7832243	7936779	8272275	8412961	9347474	9476566	9690362	10388176	11187811	12532002	13639190	14991583	15806455	18524729	21109732	28073127	35417676	53066278	123067754	
.	17	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	17	6153549	6155807	6160323	6185109	6334509	6353551	6695927	6806773	6815223	6833943	6838834	6878655	7008360	7492579	7599678	7706269	7718763	7763891	7877922	7973955	8089150	8435868	8584202	9511704	9641666	9865735	10587129	11394059	12726963	13887906	15246149	16111675	18886946	21539370	28704292	36092743	54001389	123067754	
.	18	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	18	6246137	6248294	6252842	6275832	6417699	6439754	6761909	6864855	6873136	6891381	6896282	6937901	7050298	7123050	7641491	7744978	7757836	7803419	7914600	8013120	8132164	8473192	8621708	9515809	9651552	9870457	10602985	11391755	12700072	13483565	15180664	16063432	18117449	20965100	26604565	34636438	52881509	123067754	
.	19	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	19	6340249	6342510	6347387	6369993	6517282	6544866	6858007	6957900	6965970	6983462	6988870	7033983	7163103	7248655	7730238	7835888	7849907	7897824	8006956	8113679	8244769	8599447	8755248	9618155	9755467	9981847	10757271	11535394	12814859	13628723	15318591	16246536	18343981	21168896	26899202	34978841	53362636	123067754	
.	20	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	20	6435307	6437746	6443101	6465629	6614215	6647793	6949497	7043330	7051683	7069234	7075071	7123664	7259987	7361747	7809866	7916117	7930982	7980331	8087697	8196809	8338933	8693211	8851106	9698882	9836949	10062768	10854336	11626851	12896160	13720977	15426158	16403575	18514149	21402372	27193789	35457727	53691319	123067754	
.	21	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	21	6534189	6536833	6542790	6565055	6717919	6759761	7054248	7138968	7147685	7164725	7171006	7224918	7373800	7497775	7892227	7998369	8014878	8067562	8173726	8297169	8453530	8806950	8966881	9794087	9935549	10164561	10991972	11773101	13019060	13866797	15582441	16613150	18746488	21675964	27568565	36099062	54328128	123067754	
.	22	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	22	6622809	6626204	6632633	6657643	6819465	6871563	7162298	7239621	7249893	7267260	7274060	7338461	7500734	7644952	8008044	8117637	8136285	8192515	8297612	8432147	8609474	8972416	9139366	9946504	10088133	10323589	11197994	11987585	13211595	14089282	15824255	16948153	19105908	22091960	28141568	36843219	55081148	123067754	
.	23	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	23	6711474	6715044	6722634	6747764	6926494	6992367	7293864	7369538	7380254	7397815	7405296	7478724	7669209	7837724	8175553	8286054	8306613	8366560	8471379	8614918	8809514	9185828	9359480	10147896	10292694	10527694	11458948	12242628	13446750	14347995	16100058	17293565	19466911	22504022	28776076	37121687	53933918	123067754	
.	24	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	24	6807053	6811070	6819293	6842918	7018960	7096006	7355695	7413495	7424465	7441999	7450027	7532390	7738943	7919294	8209091	8320098	8342158	8405022	8508197	8657670	8873668	9264329	9443300	10206226	10353617	10596859	11588972	12376306	13555661	14490162	16263222	17553763	19757398	22855744	29334964	37832301	55061987	123067754	
.	25	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	25	6901774	6907625	6917993	6941712	7145528	7245187	7490188	7541828	7553499	7571415	7580666	7674085	7905451	8071201	8315535	8427044	8452434	8525072	8629602	8783528	9017318	9439603	9625047	10314026	10470715	10717084	11813010	12614160	13703963	14678971	16448996	17831601	20102984	23208591	29816047	38313703	56029081	123067754	
.	26	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	26	6991934	6998204	7009129	7035963	7250946	7374387	7597007	7638618	7651157	7669227	7679305	7787535	8040020	8207072	8419838	8531696	8560199	8638018	8743030	8903062	9161678	9606945	9797680	10446633	10610505	10860794	12041267	12851078	13886507	14912887	16647778	18124379	20419121	23500015	30245829	38736562	56883016	123067754	
.	27	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	27	7088531	7095668	7108399	7137170	7372951	7520215	7727035	7758906	7772237	7790999	7802315	7925568	8200434	8367023	8553536	8668493	8699130	8784454	8890702	9060032	9349283	9817645	10020586	10640619	10809635	11074322	12342765	13168356	14166372	15256220	17009394	18611307	20965980	24074192	31073249	39411620	58249829	123067754	
